data_consulta;useriD
22/06/2021 00:00;id3419573841478276
22/06/2021 00:00;id3488842687885635
22/06/2021 00:00;id3818514014826811
22/06/2021 00:00;id3823611161064779
22/06/2021 00:00;id4029980273784788
22/06/2021 00:00;id4046403558789289
22/06/2021 00:00;id4059894484047992
22/06/2021 00:00;id4065899943494958
22/06/2021 00:00;id4069368993183677
22/06/2021 00:00;id4122243714524681
22/06/2021 00:00;id4164687243590169
22/06/2021 00:00;id4242655982421396
22/06/2021 00:00;id4345712715453443
22/06/2021 00:00;id4522925584398082
22/06/2021 00:00;id4680884658602542
22/06/2021 00:00;id4801410303206465
22/06/2021 00:00;id5725765197466027
22/06/2021 00:00;id5959445730733972
22/06/2021 00:00;id6290557574291382
23/06/2021 00:00;id3834979066631066
23/06/2021 00:00;id3863083283813488
23/06/2021 00:00;id3960666583985714
23/06/2021 00:00;id4022749307822194
23/06/2021 00:00;id4035238123220867
23/06/2021 00:00;id4040537339370555
23/06/2021 00:00;id4091762960908071
23/06/2021 00:00;id4102297056558566
23/06/2021 00:00;id4172775809456264
23/06/2021 00:00;id4212609668825892
23/06/2021 00:00;id4250324278357885
23/06/2021 00:00;id4441950509158091
23/06/2021 00:00;id4502351843110962
23/06/2021 00:00;id4666506710030141
23/06/2021 00:00;id5407985059275310
24/06/2021 00:00;id3129993990458540
24/06/2021 00:00;id3339666346072437
24/06/2021 00:00;id3469960956440574
24/06/2021 00:00;id3671372392964517
24/06/2021 00:00;id3823046084484506
24/06/2021 00:00;id3824351687670468
24/06/2021 00:00;id3862529963868915
24/06/2021 00:00;id3914470558662332
24/06/2021 00:00;id3984234538292550
24/06/2021 00:00;id4018416101587270
24/06/2021 00:00;id4018949264859358
24/06/2021 00:00;id4022902324411423
24/06/2021 00:00;id4040252082679282
24/06/2021 00:00;id4055569101156322
24/06/2021 00:00;id4067956306553939
24/06/2021 00:00;id4069260056524489
24/06/2021 00:00;id4072906152773359
24/06/2021 00:00;id4074199065950888
24/06/2021 00:00;id4074217246030013
24/06/2021 00:00;id4078293182239983
24/06/2021 00:00;id4082365811857721
24/06/2021 00:00;id4086470418140857
